text,label
Action required: Your tax refund of $846 is ready. Verify your details to receive your refund: http://paypal-alert.cf/secure,1
"Following up on our conversation about Atlas - I've shared doc #2885 with you, let me know your thoughts.",0
Reminder: your appointment with Dr. Patel is scheduled for 9:00 AM on Friday. Reply to confirm or reschedule.,0
Here's the recipe you wanted (makes 7 servings) - hope you enjoy making it this weekend!,0
Your invoice #17293 is overdue. Please make payment immediately to avoid legal action. Pay here: http://192.168.4.22/confirm,1
URGENT: Unusual sign-in activity detected on your Netflix account. Confirm your password now or your account will be locked: https://account-update.xyz/verify,1
Action required: Your tax refund of $2850 is ready. Verify your details to receive your refund: http://paypal-alert.cf/secure,1
Quick question - are you free for a 9:00 AM call on Wednesday to discuss the Phoenix roadmap?,0
"Lunch on Friday at 4:00 PM? Found a new place near the office, ref code 2260.",0
Your Dropbox order #48393 has been delivered. We hope you enjoy it!,0
Your Dropbox storage is full. Click below to upgrade or your files will be deleted in 48 hours: http://paypal-alert.cf/secure,1
FYI - I've updated the Nimbus doc with the latest numbers (rev 7063). Take a look when you can.,0
"Hi, attaching the meeting notes from today's call (#69088). Action items are highlighted at the bottom.",0
Action required: Your tax refund of $1840 is ready. Verify your details to receive your refund: http://192.168.4.22/confirm,1
Your monthly statement for Microsoft 365 (account ending 2056) is now available in your dashboard. No action is needed.,0
"Lunch on Monday at 4:00 PM? Found a new place near the office, ref code 3556.",0
URGENT: Unusual sign-in activity detected on your Apple ID account. Confirm your password now or your account will be locked: http://bit.ly/3kXyZ1,1
"Following up on our conversation about Phoenix - I've shared doc #6440 with you, let me know your thoughts.",0
Here's the recipe you wanted (makes 5 servings) - hope you enjoy making it this weekend!,0
"Hi, attaching the meeting notes from today's call (#56224). Action items are highlighted at the bottom.",0
Your invoice #49407 is overdue. Please make payment immediately to avoid legal action. Pay here: http://secure-verify-account.tk/login,1
"Hi team, just a reminder that our weekly sync is moved to 9:00 AM tomorrow (3329). Let me know if that works for everyone.",0
Your PayPal order #24040 has been delivered. We hope you enjoy it!,0
"Hi team, just a reminder that our weekly sync is moved to 4:00 PM tomorrow (1080). Let me know if that works for everyone.",0
"Lunch on Monday at 4:00 PM? Found a new place near the office, ref code 1158.",0
Your invoice #82902 is overdue. Please make payment immediately to avoid legal action. Pay here: http://192.168.4.22/confirm,1
"Hi team, just a reminder that our weekly sync is moved to 9:00 AM tomorrow (7216). Let me know if that works for everyone.",0
"Following up on our conversation about Phoenix - I've shared doc #9577 with you, let me know your thoughts.",0
"Lunch on next Tuesday at 9:00 AM? Found a new place near the office, ref code 6183.",0
Reminder: your appointment with Dr. Smith is scheduled for 4:00 PM on Wednesday. Reply to confirm or reschedule.,0
"Hi, attaching the meeting notes from today's call (#85984). Action items are highlighted at the bottom.",0
Thanks for signing up for our newsletter. Here's a summary of this week's top 55026 articles.,0
Your invoice #37508 is overdue. Please make payment immediately to avoid legal action. Pay here: http://192.168.4.22/confirm,1
Your subscription to Instagram was renewed successfully (order #94555). Thanks for being a loyal customer.,0
"Hi team, just a reminder that our weekly sync is moved to 4:00 PM tomorrow (8111). Let me know if that works for everyone.",0
"Hi team, just a reminder that our weekly sync is moved to 9:00 AM tomorrow (7765). Let me know if that works for everyone.",0
Your Google order #76703 has been delivered. We hope you enjoy it!,0
Quick question - are you free for a 10:00 AM call on Friday to discuss the Atlas roadmap?,0
Your monthly statement for Apple ID (account ending 5010) is now available in your dashboard. No action is needed.,0
Thanks for signing up for our newsletter. Here's a summary of this week's top 56367 articles.,0
URGENT: Unusual sign-in activity detected on your Bank of America account. Confirm your password now or your account will be locked: http://192.168.4.22/confirm,1
Thanks for your order #22068! Your Amazon package has shipped and should arrive within 6 business days.,0
"Following up on our conversation about Aurora - I've shared doc #4612 with you, let me know your thoughts.",0
Your Amazon storage is full. Click below to upgrade or your files will be deleted in 48 hours: http://secure-verify-account.tk/login,1
Your invoice #73680 is overdue. Please make payment immediately to avoid legal action. Pay here: http://secure-verify-account.tk/login,1
"Hey, here's the report you asked for (ref: 5985). Let me know if you have any questions or need changes before Friday.",0
Your Dropbox storage is full. Click below to upgrade or your files will be deleted in 48 hours: http://secure-verify-account.tk/login,1
Your monthly statement for Apple ID (account ending 2207) is now available in your dashboard. No action is needed.,0
FYI - I've updated the Nimbus doc with the latest numbers (rev 6635). Take a look when you can.,0
Your invoice #76438 is overdue. Please make payment immediately to avoid legal action. Pay here: http://bit.ly/3kXyZ1,1
Your PayPal payment failed. Update your billing information immediately to avoid service interruption: http://secure-verify-account.tk/login,1
Your invoice #27328 is overdue. Please make payment immediately to avoid legal action. Pay here: http://bit.ly/3kXyZ1,1
Thanks for signing up for our newsletter. Here's a summary of this week's top 98213 articles.,0
"Lunch on Friday at 4:00 PM? Found a new place near the office, ref code 1665.",0
Your invoice #54020 is overdue. Please make payment immediately to avoid legal action. Pay here: https://account-update.xyz/verify,1
Reminder: your appointment with Dr. Brown is scheduled for 2:30 PM on Monday. Reply to confirm or reschedule.,0
"Hi, attaching the meeting notes from today's call (#94590). Action items are highlighted at the bottom.",0
Your monthly statement for Apple ID (account ending 2738) is now available in your dashboard. No action is needed.,0
"Hey, here's the report you asked for (ref: 7241). Let me know if you have any questions or need changes before Friday.",0
Your invoice #57583 is overdue. Please make payment immediately to avoid legal action. Pay here: http://bit.ly/3kXyZ1,1
FYI - I've updated the Aurora doc with the latest numbers (rev 8402). Take a look when you can.,0
Your Microsoft 365 order #86997 has been delivered. We hope you enjoy it!,0
URGENT: Unusual sign-in activity detected on your Microsoft 365 account. Confirm your password now or your account will be locked: http://bit.ly/3kXyZ1,1
Your invoice #25683 is overdue. Please make payment immediately to avoid legal action. Pay here: https://account-update.xyz/verify,1
"Lunch on Wednesday at 4:00 PM? Found a new place near the office, ref code 3458.",0
Your Google order #68097 has been delivered. We hope you enjoy it!,0
"Hi, attaching the meeting notes from today's call (#19606). Action items are highlighted at the bottom.",0
Action required: Your tax refund of $3427 is ready. Verify your details to receive your refund: http://bit.ly/3kXyZ1,1
Your Instagram order #42276 has been delivered. We hope you enjoy it!,0
"Hi team, just a reminder that our weekly sync is moved to 10:00 AM tomorrow (1022). Let me know if that works for everyone.",0
Your invoice #43233 is overdue. Please make payment immediately to avoid legal action. Pay here: http://192.168.4.22/confirm,1
Your monthly statement for Google (account ending 1300) is now available in your dashboard. No action is needed.,0
Your invoice #37563 is overdue. Please make payment immediately to avoid legal action. Pay here: http://secure-verify-account.tk/login,1
Reminder: your appointment with Dr. Lee is scheduled for 10:00 AM on next Tuesday. Reply to confirm or reschedule.,0
"Hey, here's the report you asked for (ref: 8542). Let me know if you have any questions or need changes before Friday.",0
"Hi team, just a reminder that our weekly sync is moved to 9:00 AM tomorrow (8125). Let me know if that works for everyone.",0
FYI - I've updated the Nimbus doc with the latest numbers (rev 4074). Take a look when you can.,0
Your monthly statement for Instagram (account ending 4481) is now available in your dashboard. No action is needed.,0
"Dear customer, your Google account has been suspended. Click here to verify your identity within 24 hours: http://192.168.4.22/confirm",1
"Lunch on Friday at 4:00 PM? Found a new place near the office, ref code 7183.",0
Your Bank of America payment failed. Update your billing information immediately to avoid service interruption: http://secure-verify-account.tk/login,1
FYI - I've updated the Aurora doc with the latest numbers (rev 7733). Take a look when you can.,0
Your PayPal payment failed. Update your billing information immediately to avoid service interruption: https://account-update.xyz/verify,1
"Lunch on Monday at 4:00 PM? Found a new place near the office, ref code 7151.",0
"Hi team, just a reminder that our weekly sync is moved to 4:00 PM tomorrow (5055). Let me know if that works for everyone.",0
Thanks for signing up for our newsletter. Here's a summary of this week's top 97623 articles.,0
Thanks for signing up for our newsletter. Here's a summary of this week's top 24982 articles.,0
Thanks for signing up for our newsletter. Here's a summary of this week's top 60107 articles.,0
"Lunch on Wednesday at 10:00 AM? Found a new place near the office, ref code 3574.",0
"Following up on our conversation about Nimbus - I've shared doc #8407 with you, let me know your thoughts.",0
"Hi team, just a reminder that our weekly sync is moved to 10:00 AM tomorrow (8946). Let me know if that works for everyone.",0
Thanks for your order #75877! Your PayPal package has shipped and should arrive within 4 business days.,0
FYI - I've updated the Phoenix doc with the latest numbers (rev 9069). Take a look when you can.,0
"Hey, here's the report you asked for (ref: 6427). Let me know if you have any questions or need changes before Friday.",0
"Lunch on Monday at 10:00 AM? Found a new place near the office, ref code 3040.",0
URGENT: Unusual sign-in activity detected on your Instagram account. Confirm your password now or your account will be locked: https://account-update.xyz/verify,1
Your Netflix payment failed. Update your billing information immediately to avoid service interruption: http://bit.ly/3kXyZ1,1
Action required: Your tax refund of $2864 is ready. Verify your details to receive your refund: http://192.168.4.22/confirm,1
Action required: Your tax refund of $4847 is ready. Verify your details to receive your refund: http://bit.ly/3kXyZ1,1
Thanks for your order #35836! Your Netflix package has shipped and should arrive within 2 business days.,0
FYI - I've updated the Phoenix doc with the latest numbers (rev 1248). Take a look when you can.,0
Reminder: your appointment with Dr. Patel is scheduled for 2:30 PM on next Tuesday. Reply to confirm or reschedule.,0
We could not process your recent Apple ID order. Please confirm your payment details to avoid cancellation: http://192.168.4.22/confirm,1
"Hi team, just a reminder that our weekly sync is moved to 2:30 PM tomorrow (4973). Let me know if that works for everyone.",0
Your Google storage is full. Click below to upgrade or your files will be deleted in 48 hours: https://account-update.xyz/verify,1
Your Apple ID payment failed. Update your billing information immediately to avoid service interruption: http://secure-verify-account.tk/login,1
Your invoice #78951 is overdue. Please make payment immediately to avoid legal action. Pay here: http://paypal-alert.cf/secure,1
"Lunch on Monday at 4:00 PM? Found a new place near the office, ref code 9663.",0
Action required: Your tax refund of $4498 is ready. Verify your details to receive your refund: http://bit.ly/3kXyZ1,1
Final notice: Your Amazon subscription will be cancelled. Renew now and confirm your card details: http://paypal-alert.cf/secure,1
"Hi, attaching the meeting notes from today's call (#40833). Action items are highlighted at the bottom.",0
"Following up on our conversation about Phoenix - I've shared doc #3271 with you, let me know your thoughts.",0
URGENT: Unusual sign-in activity detected on your Amazon account. Confirm your password now or your account will be locked: http://paypal-alert.cf/secure,1
Thanks for your order #36209! Your Netflix package has shipped and should arrive within 3 business days.,0
FYI - I've updated the Aurora doc with the latest numbers (rev 7885). Take a look when you can.,0
Your invoice #31261 is overdue. Please make payment immediately to avoid legal action. Pay here: http://paypal-alert.cf/secure,1
Final notice: Your Spotify subscription will be cancelled. Renew now and confirm your card details: http://bit.ly/3kXyZ1,1
FYI - I've updated the Phoenix doc with the latest numbers (rev 3112). Take a look when you can.,0
"Hi team, just a reminder that our weekly sync is moved to 4:00 PM tomorrow (9292). Let me know if that works for everyone.",0
Thanks for signing up for our newsletter. Here's a summary of this week's top 38707 articles.,0
Your invoice #67937 is overdue. Please make payment immediately to avoid legal action. Pay here: http://192.168.4.22/confirm,1
Your invoice #23565 is overdue. Please make payment immediately to avoid legal action. Pay here: https://account-update.xyz/verify,1
Action required: Your tax refund of $2624 is ready. Verify your details to receive your refund: http://secure-verify-account.tk/login,1
Your invoice #69128 is overdue. Please make payment immediately to avoid legal action. Pay here: http://secure-verify-account.tk/login,1
"Lunch on Friday at 10:00 AM? Found a new place near the office, ref code 9928.",0
Quick question - are you free for a 9:00 AM call on next Tuesday to discuss the Aurora roadmap?,0
Your invoice #34537 is overdue. Please make payment immediately to avoid legal action. Pay here: http://paypal-alert.cf/secure,1
"Dear customer, your Apple ID account has been suspended. Click here to verify your identity within 24 hours: http://secure-verify-account.tk/login",1
"Hi team, just a reminder that our weekly sync is moved to 9:00 AM tomorrow (7855). Let me know if that works for everyone.",0
IT Department: Your mailbox has exceeded its quota. Click here to validate your account or lose access: http://paypal-alert.cf/secure,1
Quick question - are you free for a 9:00 AM call on Monday to discuss the Phoenix roadmap?,0
"Hey, here's the report you asked for (ref: 3175). Let me know if you have any questions or need changes before Friday.",0
